#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -1.9638386876e+01 0.0000000000e+00 7.1540227284e-85 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -1.9392916447e+01 0.0000000000e+00 8.6108241285e-83 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.9147446017e+01 0.0000000000e+00 9.7582151838e-81 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.8901975587e+01 0.0000000000e+00 1.0411836282e-78 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.8656505158e+01 0.0000000000e+00 1.0459611130e-76 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.8411034728e+01 0.0000000000e+00 9.8931595839e-75 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.8165564298e+01 0.0000000000e+00 8.8101998265e-73 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.7920093868e+01 0.0000000000e+00 7.3869944253e-71 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.7674623439e+01 0.0000000000e+00 5.8315103642e-69 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.7429153009e+01 0.0000000000e+00 4.3343661950e-67 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.7183682579e+01 0.0000000000e+00 3.0332025844e-65 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.6938212149e+01 0.0000000000e+00 1.9985200164e-63 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.6692741720e+01 0.0000000000e+00 1.2397863643e-61 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.6447271290e+01 0.0000000000e+00 7.2412989415e-60 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.6201800860e+01 0.0000000000e+00 3.9821477183e-58 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.5956330431e+01 0.0000000000e+00 2.0618141878e-56 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.5710860001e+01 0.0000000000e+00 1.0051085087e-54 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.5465389571e+01 0.0000000000e+00 4.6132569361e-53 0.0000000000e+00 0.0000000000e+00
