#t_end i t_rel win_id is_partial nsnap t_start t_last eta_mean_win eta_sigma_win xi_skew xi_kurt weight_win sx_mean_win sx_sigma_win sx_skew sx_kurt sz_mean_win sz_sigma_win sz_skew sz_kurt
#  slope stats normalised by sumwsx (area with |n.y|>0.10); cells with steeper interfaces excluded
3.2711548606e+03 1518812 1.6418748606e+03 1 1 446 3.2708001160e+03 3.2711548606e+03 1.0000081610e+00 9.8332457158e-03 1.6034387649e-01 2.8917850060e+00 1.7688061835e+04 -1.3368959857e-04 8.4559002023e-02 -6.0187373666e-03 3.1545330229e+00 -2.9056705018e-06 3.2537547355e-02 -6.0326719621e-02 3.1568519477e+00
3.2715475597e+03 1519306 1.6422675597e+03 1 1 940 3.2708001160e+03 3.2715475597e+03 1.0000091184e+00 9.6415410075e-03 1.2708570401e-01 2.8825932739e+00 3.7276660703e+04 -1.5193326460e-04 8.3671770926e-02 -7.2928266083e-02 3.2172888453e+00 -2.8190802539e-06 3.1777669603e-02 -3.2374731247e-02 3.1310974086e+00
3.2715475597e+03 1519306 1.6422675597e+03 1 1 940 3.2708001160e+03 3.2715475597e+03 1.0000091184e+00 9.6415410075e-03 1.2708570401e-01 2.8825932739e+00 3.7276660703e+04 -1.5193326460e-04 8.3671770926e-02 -7.2928266083e-02 3.2172888453e+00 -2.8190802539e-06 3.1777669603e-02 -3.2374731247e-02 3.1310974086e+00
3.2719402587e+03 1519799 1.6426602587e+03 1 1 1433 3.2708001160e+03 3.2719402587e+03 1.0000087410e+00 9.6189429249e-03 7.0130392168e-02 2.8779950937e+00 5.6824729530e+04 -1.7603188555e-04 8.3300752210e-02 -1.4025776820e-01 3.2596539394e+00 -2.5918927884e-06 3.1723828361e-02 -3.0128807212e-03 3.1641715361e+00
3.2723329578e+03 1520309 1.6430529578e+03 1 1 1943 3.2708001160e+03 3.2723329578e+03 1.0000083718e+00 9.6525207630e-03 1.7571432615e-02 2.8908088643e+00 7.7045734851e+04 -1.9360259555e-04 8.2973294918e-02 -1.9550430994e-01 3.3129780711e+00 -2.1201734649e-06 3.1637557102e-02 1.5286583451e-02 3.2272040257e+00
3.2723329578e+03 1520309 1.6430529578e+03 1 1 1943 3.2708001160e+03 3.2723329578e+03 1.0000083718e+00 9.6525207630e-03 1.7571432615e-02 2.8908088643e+00 7.7045734851e+04 -1.9360259555e-04 8.2973294918e-02 -1.9550430994e-01 3.3129780711e+00 -2.1201734649e-06 3.1637557102e-02 1.5286583451e-02 3.2272040257e+00
3.2727256569e+03 1520778 1.6434456569e+03 1 1 2412 3.2708001160e+03 3.2727256569e+03 1.0000083431e+00 9.6671445285e-03 -1.9554227339e-02 2.9128084380e+00 9.5639663410e+04 -2.0448639953e-04 8.2653139718e-02 -2.3002694085e-01 3.3549259392e+00 -1.9605614459e-06 3.1512505506e-02 1.9387221867e-02 3.2453692061e+00
3.2731183560e+03 1521208 1.6438383560e+03 1 1 2842 3.2708001160e+03 3.2731183560e+03 1.0000083785e+00 9.6677763803e-03 -3.7547350010e-02 2.9263674851e+00 1.1268544158e+05 -2.0798330921e-04 8.2309392693e-02 -2.4838437353e-01 3.3808764624e+00 -1.6218085974e-06 3.1378918498e-02 1.6653748210e-02 3.2425837709e+00
3.2731183560e+03 1521208 1.6438383560e+03 1 1 2842 3.2708001160e+03 3.2731183560e+03 1.0000083785e+00 9.6677763803e-03 -3.7547350010e-02 2.9263674851e+00 1.1268544158e+05 -2.0798330921e-04 8.2309392693e-02 -2.4838437353e-01 3.3808764624e+00 -1.6218085974e-06 3.1378918498e-02 1.6653748210e-02 3.2425837709e+00
3.2735110551e+03 1521694 1.6442310551e+03 1 1 3328 3.2708001160e+03 3.2735110551e+03 1.0000085576e+00 9.6757333982e-03 -3.8959636176e-02 2.9301457369e+00 1.3195111407e+05 -2.0612149935e-04 8.1938445711e-02 -2.5261021187e-01 3.3962622966e+00 -1.5268021390e-06 3.1238221728e-02 9.1383702728e-03 3.2371100896e+00
3.2739037542e+03 1522157 1.6446237542e+03 1 1 3791 3.2708001160e+03 3.2739037542e+03 1.0000088176e+00 9.6848322042e-03 -2.2303151059e-02 2.9312796242e+00 1.5030333648e+05 -2.0114397279e-04 8.1556458799e-02 -2.4696080741e-01 3.4006714875e+00 -1.2502236160e-06 3.1094809645e-02 3.3528739675e-03 3.2441737190e+00
3.2739037542e+03 1522157 1.6446237542e+03 1 1 3791 3.2708001160e+03 3.2739037542e+03 1.0000088176e+00 9.6848322042e-03 -2.2303151059e-02 2.9312796242e+00 1.5030333648e+05 -2.0114397279e-04 8.1556458799e-02 -2.4696080741e-01 3.4006714875e+00 -1.2502236160e-06 3.1094809645e-02 3.3528739675e-03 3.2441737190e+00
